name,color
Abhimanyu,#57BE85
Arjuna,#57BE85
Ashwatthama,#D87575
Bhima,#57BE85
Bhishma,#57BE85
Dhritarashtra,#D87575
Draupadi,#57BE85
Drona,#D87575
Duryodhana,#D87575
Dushasana,#D87575
Gandhari,#D87575
Ghatotkacha,#57BE85
Karna,#D87575
Kripa,#D87575
Krishna,#57BE85
Kunti,#57BE85
Nakula,#57BE85
Sahadeva,#57BE85
Shakuni,#D87575
Shikhandi,#57BE85
Vidura,#57BE85
Vyasa,#57BE85
Yudhishthira,#57BE85
